KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L; 3G C;  3G S   ;U-L;U900;U-S;DATE; ADDR           ; REM                                                  ; OZIN     ; OZIE     ;LOCK
/;Брест
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104104 ; 23      ;;;;29.10.17 ; Московское шоссе    ; столб МТС?                                           ; 52.103260; 23.789839;G*
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104109 ;123      ;;;;29.10.17 ; Московская 208      ; БЦ "Брест Деловой", отдельные трубостойки            ; 52.096452; 23.742622;G
$;4;R  ;BR.; Брест               ;;;;;; 223 ; 104247 ;123      ;;;;11.10.17 ; Сябровская 88/1     ; котельная, мачта МТС                                 ; 52.065926; 23.723846;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104702 ;123      ;;;;20.02.17 ; Московская 267/3    ; общежитие, триподы МТС                               ; 52.094461; 23.760083;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104703 ;123      ;;;;23.12.16 ; Московская 123      ; ЦМТ, триподы МТС                                     ; 52.090317; 23.730567;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104705 ;123      ;;;;17.03.17 ; Скрипникова 3       ; база N1 ТПРДУП "Желдорсервис", мачта МТС             ; 52.104197; 23.695711;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104706 ;123      ;;;;19.12.16 ; Янки Купалы 98      ; УП "Брестская СПМК-132", мачта МТС                   ; 52.110647; 23.751820;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104707 ; 2       ;;;;23.12.16 ; Пригородная 27      ; Брестский гос.проф.лицей строителей, мачта МТС       ; 52.098414; 23.652858;G
$;4;R  ;BR.; Брест               ;;;;;; 223 ; 104709 ;123      ;;;;07.12.16 ; 28 июля 20          ; ЧУП "Промбрис", мачта МТС                            ; 52.075972; 23.736436;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104711 ;123      ;;;;20.02.07 ; Орловская 41/1      ; ЖЭС-7, мачта МТС                                     ; 52.104405; 23.779283;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104712 ; 23      ;;;;03.11.17 ; Пушкинская 65       ; ж/д колледж, мачта МТС                               ; 52.099533; 23.701581;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104713 ;123      ;;;;11.04.17 ; Гаврилова 39        ; ЦТП-3-17, мачта МТС                                  ; 52.111022; 23.774579;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104715 ;123      ;;;;12.12.16 ; Дзержинского 25     ; СДЮШОР-3, трипод МТС                                 ; 52.088297; 23.693825;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104716 ;1        ;;;;10.02.17 ; Лейтенанта Рябцева 110/2; СООО "Осттаможсервис", мачта МТС?                ; 52.144092; 23.681822;G*
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104719 ;123      ;;;;23.02.17 ; Янки Купалы 110     ; База ОПС, мачта МТС                                  ; 52.114185; 23.769930;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 104727 ;123      ;;;;20.12.16 ; Московская 332/3    ; столб МТС                                            ; 52.100968; 23.761143;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104716 ;1        ;;;;10.02.17 ; Лейтенанта Рябцева 110/2; СООО "Осттаможсервис", мачта МТС?                ; 52.144092; 23.681822;G*
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104760 ; 2       ;;;;23.12.16 ; Красногвардейская 120; магазин N17 ТПРДУП "Желдорсервис", мачта МТС?       ; 52.129485; 23.694976;G*
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 104776 ; 2       ;;;;20.12.17 ; Солнечная 86        ; ПМК N5, мачта МТС                                    ; 52.112178; 23.644800;G
$;4;R  ;BR.; Брест               ;;;;;; 223 ; 105052 ;123      ;;;;24.04.17 ; Краснознаменная     ; светодиодный экран                                   ; 52.076366; 23.720118;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 105053 ;123      ;;;;16.12.16 ; Высокая 22/1        ; общежитие, трипод МТС                                ; 52.098093; 23.723240;G
