KIND;OPR;STAT;AREA;CITY   ;CB   ;LAC; CID ; GSM ; DCS ; 3G L; 3G C ; 3G S ; DATE  ; ADDR                 ; REM                               ;  OZIN     ;  OZIE  ;LOCK
/;Витебск;;;;;;;;;;;;;;;
$;M;R;VI.; Витебск   ;          ;   ;  565 ;    ;    ;240; 1028 ;12 4  7  ;   ;      ;    ;15.08.15; Воинов-интернац. 1/2; жилой дом, мачта                    ; 55.161965; 30.202784;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 43;  566 ;123 ;456 ;246; 6009 ;123456 89;246; 4173 ;123 ;06.03.06; 14-я Полоцкая 35А   ; отдел мат.-техн. снабж. "Белтелеком"; 55.191478; 30.154262;G
$;M;R;VI.; Витебск   ; VITEBSK  ;   ;  566 ;    ;    ;246; 5847 ;1     7  ;   ;      ;    ;15.12.18; 14-я Полоцкая 35А   ; отдел мат.-техн. снабж. "Белтелеком"; 55.191478; 30.154262;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 47;  567 ;123 ;456 ;245; 6010 ;123456789;245; 4173 ;456 ;06.03.06; Марка Шагала 8А     ; университет "МИТСО", трубостойки    ; 55.189183; 30.204667;G
$;M;R;VI.; Витебск   ;          ;   ;  567 ;    ;    ;245; 6065 ;12 45 78 ;   ;      ;    ;29.01.15; Марка Шагала 8А     ; университет "МИТСО", трубостойки    ; 55.189183; 30.204667;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 47;  568 ;123 ;456 ;245; 6011 ;123456   ;245; 4173 ;789 ;06.03.06; Смоленская 11А      ; фабрика полуфабрикатов, триподы     ; 55.187105; 30.236073;G
$;M;R;VI.; Витебск   ;          ;   ;  568 ;    ;    ;245; 1063 ;       89;   ;      ;    ;19.05.17; Смоленская 11А      ; фабрика полуфабрикатов, триподы     ; 55.187105; 30.236073;G
$;M;R;VI.; Витебск   ;          ;   ;  568 ;    ;    ;245; 6066 ;1  4     ;   ;      ;    ;11.06.15; Смоленская 11А      ; фабрика полуфабрикатов, триподы     ; 55.187105; 30.236073;G
$;M;R;VI.; Витебск   ;          ;   ;  568 ;    ;    ;245; 1067 ;      7  ;   ;      ;    ;19.05.17; Смоленская 11А      ; фабрика полуфабрикатов, триподы     ; 55.187105; 30.236073;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 43;  569 ;123 ;456 ;246; 6012 ;123456  9;246; 4202 ;123 ;06.03.06; М. Горького 62      ; комб. шёлк. тканей, трипод и труб-ки; 55.172654; 30.153021;G
$;M;R;VI.; Витебск   ;          ; 47; 1051 ;1   ;4   ;245; 6014 ;1  4  7  ;   ;      ;    ;08.01.13; Ленина 26А          ; ТРК "MARKO-CITY", внутри            ; 55.191100; 30.203536;G
$;M;R;VI.; Витебск   ;          ;   ; 1051 ;    ;    ;   ;      ;         ;245; 2388 ;0   ;12.08.18; Ленина 26А          ; ТРК "MARKO-CITY", внутри            ; 55.191100; 30.203536;G
$;M;R;VI.; Витебск   ;          ; 45; 1108 ;    ;4   ;240; 6015 ;1  4  7  ;   ;      ;    ;17.01.15; пр. Победы 15       ; ТРЦ "МЕГА", внутри                  ; 55.169634; 30.223952;G
$;M;R;VI.; Витебск   ;          ; 45; 1109 ;123 ;456 ;240; 1761 ;123456789;240; 1085 ;14  ;22.09.15; Московский пр. 130-1; гипермаркет "Евроопт", трубостойки  ; 55.174350; 30.266900;G
$;M;R;VI.; Витебск   ;          ;   ; 1109 ;    ;    ;240; 5848 ;1  4  7  ;240; 1133 ;1   ;13.01.17; Московский пр. 130-1; гипермаркет "Евроопт", трубостойки  ; 55.174350; 30.266900;G
$;M;R;VI.; Витебск   ;          ;   ; 1109 ;    ;    ;240; 1748 ;1  4  7  ;   ;      ;    ;29.09.14; Московский пр. 130-1; гипермаркет "Евроопт", внутри       ; 55.174910; 30.266379;G
$;M;R;VI.; Витебск   ;          ; 43; 1137 ;123 ;456 ;246; 6016 ;12345678 ;246; 1133 ;234 ;05.05.16; Бешенковичское ш. 50; Витебскэнергоспецремонт, мачта      ; 55.147020; 30.123691;G
$;M;R;VI.; Витебск   ;          ;   ; 1137 ;    ;    ;246; 1799 ;        9;   ;      ;    ;30.05.17; Бешенковичское ш. 50; Витебскэнергоспецремонт, мачта      ; 55.147020; 30.123691;G
$;M;R;VI.; Витебск   ;          ; 45; 1162 ;    ;4568;240; 5712 ;123456789;   ;      ;    ;29.12.16; 33 Армии            ; башня velcom 40м.                   ; 55.165342; 30.288544;G
$;M;R;VI.; Витебск   ;          ;   ; 1162 ;    ;    ;240; 5711 ;1  4  7  ;   ;      ;    ;29.12.16; 33 Армии            ; башня velcom 40м.                   ; 55.165342; 30.288544;G
$;M;R;VI.; Витебск   ;          ; 43; 1178 ;1237;4568;246; 1840 ;123456789;246; 1405 ;9   ;24.12.16;Бешенковичское ш. 40А; ЧПУП "Иртранс", мачта               ; 55.150000; 30.140300;G
$;M;R;VI.; Витебск   ;          ;   ; 1178 ;    ;    ;246; 1842 ;1  4  7  ;246; 1475 ;023 ;12.01.17;Бешенковичское ш. 40А; ЧПУП "Иртранс", мачта               ; 55.150000; 30.140300;G
$;M;R;VI.; Витебск   ;          ; 45; 1257 ;    ;460 ;240; 5729 ;1 34 67 9;   ;      ;    ;23.01.18;Актёров Ерёменко (север); опора освещения (север)          ; 55.169866; 30.278676;G
$;M;R;VI.; Витебск   ;          ;   ; 1257 ;    ;    ;240; 5726 ; 2  5  8 ;   ;      ;    ;23.01.18;Актёров Ерёменко (север); опора освещения (север)          ; 55.169866; 30.278676;G
$;M;R;VI.; Витебск   ;          ; 45; 1257 ;    ;8   ;240; 5726 ;1  4  7  ;   ;      ;    ;23.01.18;Актёров Ерёменко (север); опора освещения (центр)          ; 55.169544; 30.278551;G
$;M;R;VI.; Витебск   ;          ; 45; 1257 ;    ;5   ;240; 5729 ; 2  5  8 ;   ;      ;    ;23.01.18;Актёров Ерёменко (север); опора освещения (юг)             ; 55.168908; 30.278295;G
$;M;R;VI.; Витебск   ;          ;   ;      ;    ;    ;240; 1314 ;1  4  7  ;   ;      ;    ;20.02.18;                     ; конец Бровки (СЭЗ)                  ;          ;          ;
$;M;R;VI.; Витебск   ;          ;   ;      ;    ;    ;245; 1394 ;1234567 9;   ;      ;    ;08.06.18; Лазо 103Б           ; общежитие, трипод                   ; 55.199060; 30.254480;G
$;M;R;VI.; Витебск   ;          ;   ; 1394 ;    ;    ;245; 1487 ; 2    78 ;   ;      ;    ;11.06.18; Лазо 103Б           ; общежитие, трипод                   ; 55.199060; 30.254480;G
