KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
/;Минская область
//$;M;R  ;MIO; ?                   ;              ; хх ;  ххх ;х   ;    ;     ;      ;         ;   ;      ;    ;хх.08.18 ; ???                   ; 
//$;M;R  ;MIO; ?                   ;;;;;;ххх;  ххх ;х        ;;;;хх.02.19; ???                   ; (ххх) -
$;M;R  ;MIO; ?                   ;;;;;;172;  288 ;123456789;;;;24.09.18; ???                   ; (9,35,46) - не Лещатка? не 2353? nook2004 знаетъ где
$;M;R  ;MIO; ?                   ;;;;;;202; 1189 ;  3  6  9;;;;04.01.19; ???                   ; (359) - надуло в Козеково, ?
$;M;R  ;MIO; Ждановичи?          ;;;;;;200; 1285 ;1        ;;;;18.11.18; ???                   ; (486) - Ждановичи, между 2341 и 4120, похоже 4192
$;M;R  ;MIO; ?                   ;;;;;;173; 1408 ;1        ;;;;20.08.19; ???                   ; (402) - Столбцы, 769 или 1449?
$;M;R  ;MIO; ?                   ;;;;;;173; 2066 ;1  4     ;;;;19.02.18; ???                   ; (???) - Ружамполь-Даниловичи
$;M;R  ;MIO; Солигорск?          ;;;;;;170; 2200 ;1234567 9;;;;18.03.15; ???                   ; (???) - р-н Чижевичи-Кулаки
$;M;R  ;MIO; Ратомка?            ;;;;;;211; 2714 ;1  4  7  ;;;;30.04.18; ???                   ; (129) - в Ратомке, 2171?
$;M;R  ;MIO; ?                   ;;;;;;208; 2715 ;1   5 78 ;;;;11.06.18; ???                   ; (477,491) - в 2 км к югу от Колодищ-2
$;M;R  ;MIO; Смолевичи?          ;;;;;;203; 2745 ;1        ;;;;14.02.19; ???                   ; (243) - доп.сектор на БС 2505 или 2506?
$;M;R  ;MIO; ?                   ;;;;;;174; 2776 ;1  4     ;;;;10.05.18; ???                   ; (119) - ловилось в р-не Дричина
$;M;R  ;MIO; ?                   ;;;;;;174; 2779 ;123456   ;;;;05.03.18; ???                   ; (012,035,080) - Дружный-Ананичи, около БС 2403
$;M;R  ;MIO; ?                   ;;;;;;200; 2954 ;1  4     ;;;;01.03.18; ???                   ; (508) - доп. на 2201???, направлен на РКМЦ
$;M;R  ;MIO; ?                   ;;;;;;202; 3435 ;      7  ;;;;18.07.17; ???                   ; (???) - Вилейский р-н? 
$;M;R  ;MIO; ?                   ;;;;;;202; 3943 ;1        ;;;;18.07.17; ???                   ; (???) - р-н Молодечно 
$;M;R  ;MIO; ?                   ;;;;;;172; 4019 ;1    67  ;;;;07.03.18; ???                   ; (23,207) - Молодечно-Лебедево
$;M;R  ;MIO; ?                   ;;;;;;172; 4020 ;        9;;;;14.08.18; ???                   ; (207) - по ж/д между о.п. Носилово-Асановский 
$;M;R  ;MIO; ?                   ;;;;;;206; 4088 ; 23 5    ;;;;17.05.18; ???                   ; (454,467) - Район Сосен 
$;M;R  ;MIO; ?                   ;;;;;;204; 4186 ;1        ;;;;18.07.16; Минский р-н           ; (???) - около Озерцо???
$;M;R  ;MIO; ?                   ;;;;;;216; 4265 ;12 4     ;;;;26.07.17; ???                   ; (???) - возле Ракова
$;M;R  ;MIO; ?                   ;;;;;;172; 4271 ;12    7 9;;;;07.03.18; ???                   ; (014,157) - Молодечно-Лебедево
$;M;R  ;MIO; Слуцк?              ;;;;;;170; 4275 ; 2 45    ;;;;01.11.15; ???                   ; (???) - въезд со стороны Солигорска
$;M;R  ;MIO; Молодечно?          ;;;;;;172; 4339 ; 2  5 78 ;;;;07.03.18; ???                   ; (199) -  на въезде со стороны Минска по ж/д, 884?
$;M;R  ;MIO; ?                   ;;;;;;202; 4353 ;1        ;;;;18.07.17; ???                   ; (???) - р-н Молодечно 
$;M;R  ;MIO; Печи?               ;;;;;;171; 4365 ; 23    89;;;;26.05.18; ???                   ; (019,134) - БС 5514 или передвижная БС 2001?
$;M;R  ;MIO; ?                   ;;;;;;172; 4392 ; 2     8 ;;;;14.08.18; ???                   ; (300) - на выезде из Молодечно по ж/д в сторону о.п. Носилово 
$;M;R  ;MIO; ?                   ;;;;;;174; 4591 ;        9;;;;21.07.18; ???                   ; (410) - по жд между Мачулищами-Асеевкой
$;M;R  ;MIO; ?                   ;;;;;;173; 4592 ; 23 56   ;;;;05.05.18; ???                   ; (098,125) - Столбцовский р-н, БС 2044? 
$;M;R  ;MIO; ?                   ;;;;;;216; 4631 ;123     9;;;;01.03.18; ???                   ; (18,31,48) - р-н Шараи, Ратомка-Ждановичи
$;M;R  ;MIO; ?                   ;;;;;;172; 4632 ;1        ;;;;28.12.17; ???                   ; (120) - возле Новоселье М6
$;M;R  ;MIO; ?                   ;;;;;;216; 4716 ;1 34 6   ;;;;30.04.18; ???                   ; (069,492) - за Заславлем 
$;M;R  ;MIO; ?                   ;;;;;;216; 4719 ;1     7  ;;;;21.05.18; ???                   ; (270) - рядом с 4716 
$;M;R  ;MIO; ?                   ;;;;;;216; 4722 ;1  4  7  ;;;;26.07.17; ???                   ; (071) - Воложинский р-н, северо-западнее Ракова, Новины?
$;M;R  ;MIO; Крупица?            ;;;;;;204; 4726 ;1  4  7  ;;;;17.05.18; ???                   ; (481) - доп в Крупице, 2330?
$;M;R  ;MIO; ?                   ;;;;;;216; 4730 ;1     7  ;;;;26.07.17; ???                   ; (???) - Выгоничи-Раков 
$;M;R  ;MIO; Дричин?             ;;;;;;174; 4753 ;  3  6  9;;;;06.04.18; ???                   ; (411) - Пуховичский р-н, 2430?
$;M;R  ;MIO; ?                   ;;;;;;216; 4760 ;1  4  7  ;;;;26.07.17; ???                   ; (???) - Раков-Шараи 
$;M;R  ;MIO; ?                   ;;;;;;173; 4766 ;1        ;;;;17.05.18; ???                   ; (474) - в Руденске 
$;M;R  ;MIO; Борисов?            ;;;;;;171; 5025 ;12 45 78 ;;;;14.02.19; ???                   ; (500,042) - БС 2510 или доп.сектор на БС 4500?
$;M;R  ;MIO; Борисов?            ;;;;;;171; 5124 ; 2  5    ;;;;14.02.19; ???                   ; (021) - в р-не БС 0511, ?
$;M;R  ;MIO; ?                   ;;;;;;204; 5138 ;    5    ;;;;17.05.18; ???                   ; (240) - возле Волковичи 
$;M;R  ;MIO; ?                   ;;;;;;201; 5149 ;     6   ;;;;25.01.18; ???                   ; (046) - возле 1083 
$;M;R  ;MIO; ?                   ;;;;;;201; 5149 ;     6   ;;;;25.01.18; ???                   ; (046) - возле 1083 
$;M;R  ;MIO; ?                   ;;;;;;210; 5206 ; 3       ;;;;04.01.19; ???                   ; (335) - Сеница 
$;M;R  ;MIO; ?                   ;;;;;;210; 5209 ;1        ;;;;04.01.19; ???                   ; (337) - Сеница 
$;M;R  ;MIO; ?                   ;;;;;;173; 5305 ;1  4     ;;;;05.05.18; ???                   ; (030) - Столбцовский р-н, доп.сектор на БС 2044? 
$;M;R  ;MIO; Дзержинск?          ;;;;;;173; 5309 ;       8 ;;;;26.04.16; ???                   ; (???) - ???
$;M;R  ;MIO; ?                   ;;;;;;205; 5350 ;1     7  ;;;;14.02.19; Смолевичский р-н???   ; (301) - смена номера/новая БС?
$;M;R  ;MIO; ?                   ;;;;;;174; 5376 ;1  4     ;;;;10.05.18; ???                   ; (271) - ловилось в р-не Руденска
$;M;R  ;MIO; Шабуневка?          ;;;;;;173; 5398 ; 2       ;;;;30.05.17; ???                   ; (???) - Дзержинский р-н; БС 5325? 
$;M;R  ;MIO; Смолевичи?          ;;;;;;203; 5532 ; 23 5  89;;;;26.05.18; Смолевичский р-н???   ; (225,464) - 2384?
$;M;R  ;MIO; Смолевичи?          ;;;;;;203; 5546 ; 2     8 ;;;;10.11.18; ???                   ; (30) - в Смолевичах, доп.сектор на БС 2384?
$;M;R  ;MIO; Борисов?            ;;;;;;171; 5586 ;12    78 ;;;;14.02.19; ???                   ; (355,408) - в р-не БС 0514/4513
$;M;R  ;MIO; Глебковичи?         ;;;;;;205; 5738 ;1 3456   ;;;;16.07.17; ???                   ; (???) - Сокол?, .36 - надуло в Глебковичи, 1163? *питон*
$;M;R  ;MIO; ?                   ;;;;;;216; 5744 ;1  4  7  ;;;;29.12.17; ???                   ; (048) - в Кривом Селе, 852?
$;M;R  ;MIO; ?                   ;;;;;;201; 5787 ;1  4  7  ;;;;15.04.18; ???                   ; (300) - р-н Северного кладбища, 1-е ворота 
$;M;R  ;MIO; ?                   ;;;;;;211; 5788 ;  3      ;;;;14.08.18; ???                   ; (020?) - по ж/д между о.п. Ратомка-Минское Море 
$;M;R  ;MIO; ?                   ;;;;;;172; 5790 ;1     7  ;;;;14.08.18; ???                   ; (028) - на въезде в Молодечно по ж/д в сторону Минска
$;M;R  ;MIO; Молодечно           ;;;;;;172; 5799 ;12  5  8 ;;;;10.03.08; ???                   ; (???,003) - Я.Купалы 128 или доп.секторы на БС 4882?
$;M;R  ;MIO; ?                   ;;;;;;174; 5903 ;  3     9;;;;30.12.18; ???                   ; (339) – Сосны-Привольный-Моторово, 5393?
//$;M;R  ;MIO; ?                   ;;;;;;;;;ххх;  ххх ;х   ;хх.08.18; ???                   ; (ххх) -
$;M;R  ;MIO; Таборы?             ;;;;;;;;;211;  482 ;9   ;27.12.16; ???                   ; (???) - возле Тарасово, 1851?
$;M;R  ;MIO; Фаниполь?           ;;;;;;;;;173;  484 ;8   ;06.06.17; ???                   ; (???) - Фаниполь, 2122?
$;M;R  ;MIO; Фаниполь?           ;;;;;;;;;172;  488 ;23  ;09.09.18; ???                   ; (102,161) - возле Кибути
$;M;R  ;MIO; Столбцы?            ;;;;;;;;;173;  491 ;6   ;06.06.17; ???                   ; (???) - Столбцы, Ленина, 2369?
$;M;R  ;MIO; Фаниполь?           ;;;;;;;;;173;  498 ;56  ;06.06.17; ???                   ; (???) - Фаниполь, 327?
$;M;R  ;MIO; ?                   ;;;;;;;;;216;  499 ;9   ;04.01.19; ???                   ; (406) - надуло около Паперни, 0375/0396?
$;M;R  ;MIO; Ждановичи?          ;;;;;;;;;200;  804 ;0   ;18.11.18; ???                   ; (329) - Ждановичи около МУНДа, 1742?
$;M;R  ;MIO; ?                   ;;;;;;;;;200;  903 ;2   ;19.01.17; ???                   ; (???) - Минское море возле резиденции, 4192?
$;M;R  ;MIO; Цнянка?             ;;;;;;;;;201;  904 ;1   ;05.06.17; ???                   ; (???) - Цнянка, 430?
$;M;R  ;MIO; Молодечно?          ;;;;;;;;;202;  919 ;2   ;05.06.17; ???                   ; (???) - Молодечно, 4881/4882/4883? 
$;M;R  ;MIO; Молодечно?          ;;;;;;;;;202;  927 ;4   ;05.06.17; ???                   ; (???) - Молодечно, 5884?
$;M;R  ;MIO; ?                   ;;;;;;;;;172;  966 ;6   ;27.12.16; ???                   ; (???) - около M7, 885?
$;M;R  ;MIO; ?                   ;;;;;;;;;174;  978 ;6   ;08.02.19; ???                   ; (145) - надуло в Гатово, 1402?
$;M;R  ;MIO; Гарутишки?          ;;;;;;;;;216; 1096 ;3   ;16.06.17; ???                   ; (005) - Гарутишки, 329?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 1096 ;7   ;31.05.18; ???                   ; (321) - Гарутишки? 333?
$;M;R  ;MIO; Колодищи?           ;;;;;;;;;208; 1117 ;9   ;23.04.17; ???                   ; (???) - Основателей, 354?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 1271 ;1   ;04.04.18; ???                   ; (230) - надуло в МоО
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 1441 ;1   ;23.05.18; ???                   ; (043) - хз кто где, вероятно 532?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 1441 ;345 ;23.05.18; ???                   ; (313,048,344) - хз кто где, вероятно 532...573?
