KIND;OPR;STAT;AREA; CITY  ; CB                ;LAC ;  CID ;GSM ;DCS ; 3G L; 3G C ;  3G S   ;  DATE   ; ADDR                  ; REM                                   ;  OZIN    ;  OZIE    ;LOCK

/;Гродно

$;M;R;GR.; Гродно         ;                   ;    ;  809 ;    ;    ; 230 ; 4066 ;     6789;   ;      ;    ;28.07.19 ; Советская, 18            ; ТД "Неман", трубостойки           ; 53.682115; 23.831695;G 
$;M;R;GR.; Гродно         ;                   ; 230;  810 ;123 ;456 ; 230 ; 1429 ;123456789;230; 6430 ;678 ;01.08.08 ; Транспортная, 3          ; поликлиника N2, триподы           ; 53.670294; 23.822602;G
$;M;R;GR.; Гродно         ;                   ;    ;  810 ;    ;    ; 230 ; 1263 ;123456789;   ;      ;    ;25.01.19 ; Транспортная, 3          ; поликлиника N2, триподы, доп.     ; 53.670294; 23.822602;G
$;M;R;GR.; Гродно         ;                   ;    ;  810 ;    ;    ; 230 ; 4016 ;    5 7  ;   ;      ;    ;02.02.20 ; Транспортная, 3          ; поликлиника N2, триподы           ; 53.670294; 23.822602;G
$;M;R;GR.; Гродно         ;                   ; 233;  812 ;123 ;456 ; 233 ; 1967 ;1234 67 9;233;  996 ;234 ;22.12.08 ; пр-кт Я.Купалы, 63       ; гостиница "Турист", мачта         ; 53.654390; 23.846640;G 
$;M;R;GR.; Гродно         ;                   ;    ;  812 ;    ;    ; 233 ; 1468 ;12 45    ;   ;      ;    ;03.03.19 ; пр-кт Я.Купалы, 63       ; гостиница "Турист", мачта, доп.   ; 53.654390; 23.846640;G 
$;M;R;GR.; Гродно         ;                   ;    ;  812 ;    ;    ; 233 ; 3000 ;    5    ;   ;      ;    ;28.07.19 ; пр-кт Я.Купалы, 63       ; гостиница "Турист", мачта         ; 53.654390; 23.846640;G 
$;M;R;GR.; Гродно         ;                   ; 234;  814 ;123 ;456 ; 234 ; 2438 ;  3     9;   ;      ;    ;01.08.08 ; БЛК, 50                  ; институт биохимии НАНБ, мачта     ; 53.695520; 23.796240;G* 
$;M;R;GR.; Гродно         ;                   ; 234;  815 ;123 ;456 ; 234 ; 1611 ;123      ;234;  996 ; 67 ;09.06.11 ; Горького, 123            ; котельная ТЭЦ, труба              ; 53.720400; 23.827800;
$;M;R;GR.; Гродно         ;                   ;    ;  815 ;    ;    ; 234 ; 1620 ;1        ;   ;      ;    ;17.04.20 ; Горького, 123            ; котельная ТЭЦ, труба, доп.        ; 53.720400; 23.827800;
$;M;R;GR.; Гродно         ;                   ; 233;  816 ;123 ;456 ; 233 ; 2461 ;123456 89;233; 6431 ;234 ;01.08.08 ; пр-кт Космонавтов, 56    ; ОАО "ГИАП", мачта                 ; 53.674630; 23.863010;G
$;M;R;GR.; Гродно         ;                   ;    ;  816 ;    ;    ; 233 ; 2454 ;12345    ;   ;      ;    ;03.03.19 ; пр-кт Космонавтов, 56    ; ОАО "ГИАП", мачта, доп.           ; 53.674630; 23.863010;G
$;M;R;GR.; Гродно         ;                   ;    ;  816 ;    ;    ; 233 ; 4068 ;2  567   ;   ;      ;    ;28.06.20 ; пр-кт Космонавтов, 56    ; ОАО "ГИАП", мачта                 ; 53.674630; 23.863010;G
$;M;R;GR.; Гродно         ;                   ; 234;  817 ;123 ;456 ; 234 ; 2464 ;123456789;234; 6431 ;678 ;01.08.08 ; Тимирязева, 16           ; РУП "ГродТоргмаш", трубостойки    ; 53.691920; 23.846495;G
$;M;R;GR.; Гродно         ;                   ;    ;  817 ;    ;    ; 234 ;  423 ;   4     ;   ;      ;    ;01.02.20 ; Тимирязева, 16           ; РУП "ГродТоргмаш", трубостойки    ; 53.691920; 23.846495;G
$;M;R;GR.; Гродно         ;                   ; 234;  818 ;123 ;456 ; 234 ; 2465 ;123456789;234; 2345 ;789 ;01.08.08 ; Дзержинского, 113а       ; ЖЭС N13/аптека, мачта             ; 53.705120; 23.840890;G 
$;M;R;GR.; Гродно         ;                   ;    ;  818 ;    ;    ; 234 ; 2022 ;      7  ;   ;      ;    ;02.02.20 ; Дзержинского, 113а       ; ЖЭС N13/аптека, мачта             ; 53.705120; 23.840890;G 
$;M;R;GR.; Гродно         ;                   ; 234;  820 ;123 ;456 ; 234 ; 2466 ;1 3      ;234; 6432 ; 1  ;01.08.08 ; Богуцкого, 10            ; общежитие, трубостойки            ; 53.709400; 23.804900;
$;M;R;GR.; Гродно         ;                   ; 230;  821 ;123 ;456 ; 230 ; 2468 ;1 34 67 9;230; 6432 ;2 4 ;01.08.08 ; пер.Победы, 12           ; РCУ-2, мачта                      ; 53.658440; 23.818445;G 
$;M;R;GR.; Гродно         ;                   ;    ;  821 ;    ;    ; 230 ; 3002 ;1        ;   ;      ;    ;28.07.19 ; пер.Победы, 12           ; РCУ-2, мачта                      ; 53.658440; 23.818445;G 
$;M;R;GR.; Гродно         ;                   ; 233;  822 ;123 ;456 ; 233 ; 2484 ;123456789;233; 6432 ;56  ;01.08.08 ; Куйбышева, 31            ; ДРCУ-47, мачта                    ; 53.686080; 23.870240;G*w
$;M;R;GR.; Гродно         ;                   ;    ;  822 ;    ;    ; 233 ; 3002 ;   45    ;233; 6433 ;4   ;28.07.19 ; Куйбышева, 31            ; ДРCУ-47, мачта                    ; 53.686080; 23.870240;G*w
$;M;R;GR.; Гродно         ; BARANOVICHI       ; 33 ;  824 ;123 ;456 ;     ;      ;         ;   ;      ;    ;05.03.09 ; мкр-н Барановичи         ; Городенская 1а, клуб, мачта? (зам. на БС 5123 ?); 53.676135; 23.727975;G*w
$;M;R;GR.; Гродно         ;                   ; 234;  825 ;123 ;456 ; 234 ; 2913 ; 2  5  8 ;234; 2346 ; 2  ;01.08.08 ; Малыщинская, 7           ; теплоузел, мачта                  ; 53.712605; 23.854065;G
$;M;R;GR.; Гродно         ;                   ;    ;  825 ;    ;    ; 234 ; 4005 ;      7  ;   ;      ;    ;30.07.19 ; Малыщинская, 7           ; теплоузел, мачта                  ; 53.712605; 23.854065;G
$;M;R;GR.; Гродно         ; GRODNO            ; 230;  826 ;123 ;456 ; 230 ;      ;         ;   ;      ;    ;01.08.08 ; Репина, 38               ; АТC-55, мачта                     ; 53.661820; 23.792630;G 
$;M;R;GR.; Гродно         ;                   ; 233;  827 ;1237;4568; 233 ; 2920 ;123456789;233; 6434 ;37  ;01.08.08 ; скидельское шоссе, 20    ; РУП "Белвторполимер", мачта       ; 53.661459; 23.954761;G 
$;M;R;GR.; Гродно         ;                   ;    ;  827 ;    ;    ; 233 ; 2915 ;1        ;233; 4233 ; 0  ;28.06.20 ; скидельское шоссе, 20    ; РУП "Белвторполимер", мачта, доп. ; 53.661459; 23.954761;G 
$;M;R;GR.; Гродно         ;                   ;    ;  827 ;    ;    ; 233 ; 3010 ;12       ;   ;      ;    ;30.07.19 ; скидельское шоссе, 20    ; РУП "Белвторполимер", мачта       ; 53.661459; 23.954761;G 
$;M;R;GR.; Гродно         ;                   ; 230;  828 ;123 ;456 ; 230 ;  742 ;123456789;230; 6435 ;29  ;08.05.18 ; Буденного, 23            ; РУПС, мачта                       ; 53.685132; 23.847284;G
$;M;R;GR.; Гродно         ;                   ;    ;  828 ;    ;    ; 230 ; 2926 ;12 45 78 ;230; 6436 ; 0  ;01.08.08 ; Буденного, 23            ; РУПС, мачта, доп.                 ; 53.685132; 23.847284;G
$;M;R;GR.; Гродно         ;                   ;    ;  828 ;    ;    ; 230 ; 4068 ;89       ;   ;      ;    ;01.02.20 ; Буденного, 23            ; РУПС, мачта                       ; 53.685132; 23.847284;G
$;M;R;GR.; Гродно         ;                   ;    ;  828 ;    ;    ; 230 ; 4069 ;12       ;   ;      ;    ;08.05.18 ; Буденного, 23            ; РУПС, мачта                       ; 53.685132; 23.847284;G
$;M;R;GR.; Гродно         ;                   ; 230;  870 ;123 ;456 ; 230 ; 4347 ;123456789;230; 6436 ;123 ;01.08.08 ; Василька, 31             ; колледж ЖКХ, два трипода          ; 53.682400; 23.839260;G 
$;M;R;GR.; Гродно         ;                   ;    ;  870 ;    ;    ; 230 ; 3010 ;    56   ;   ;      ;    ;29.07.19 ; Василька, 31             ; колледж ЖКХ, два трипода          ; 53.682400; 23.839260;G 
$;M;R;GR.; Гродно         ; GRODNO            ; 233;  879 ;123 ;456 ; 233 ;      ;         ;233; 6436 ;47  ;01.08.08 ; Белуша, 19               ; общежитие, триподы                ; 53.671890; 23.847080;G*
$;M;R;GR.; Гродно         ;                   ;    ; 1219 ;    ;    ; 234 ; 4950 ; 2       ;   ;      ;    ;01.02.18 ; Господарчая, 19          ; БЦ "МаРРо", мачта                 ; 53.710650; 23.825580;G
$;M;R;GR.; Гродно         ;                   ;    ; 1227 ;    ;    ; 233 ; 4981 ;   4  7  ;   ;      ;    ;26.09.18 ; пр-т Космонавтов 100/111 ; ветеринарная клиника "Мокрый нос", мачта; 53.673031; 23.892590;G
$;M;R;GR.; Гродно         ;                   ;    ; 1227 ;    ;    ; 233 ; 4982 ; 2  5  89;   ;      ;    ;26.09.18 ; пр-т Космонавтов 100/111 ; ветеринарная клиника "Мокрый нос", мачта; 53.673031; 23.892590;G
$;M;R;GR.; Гродно         ;                   ;    ; 1230 ;    ;    ; 234 ; 4987 ;12  5 7  ;   ;      ;    ;03.03.19 ; Болдина, 11           ; эндокринологический диспансер, трипод; 53.690980; 23.799500;G
$;M;R;GR.; Гродно         ;                   ;    ; 1495 ;    ;    ; 230 ; 1450 ;12 456 89;   ;      ;    ;26.01.19 ; Доватора, 4              ; кафе "Палуба", мачта              ; 53.692790; 23.828480;G
$;M;R;GR.; Гродно         ;                   ;    ; 1495 ;    ;    ; 230 ; 1456 ;1     7  ;   ;      ;    ;26.01.19 ; Доватора, 4              ; кафе "Палуба", мачта, доп.        ; 53.692790; 23.828480;G
$;M;R;GR.; Гродно         ;                   ;    ; 1495 ;    ;    ; 230 ; 4054 ;     67 9;   ;      ;    ;26.01.19 ; Доватора, 4              ; кафе "Палуба", мачта              ; 53.692790; 23.828480;G
$;M;R;GR.; Гродно         ;                   ;    ; 1454 ;    ;    ; 230 ; 1659 ;123456789;   ;      ;    ;26.09.18 ; Красноармейская, 3      ;Центр МТС, антенны на наружной стене; 53.677230; 23.842110;G
$;M;R;GR.; Гродно         ;                   ;    ; 1454 ;    ;    ; 230 ; 1994 ;     67  ;   ;      ;    ;29.07.19 ; Красноармейская, 3      ;Центр МТС, антенны на наружной стене; 53.677230; 23.842110;G
$;M;R;GR.; Гродно         ;                   ;    ; 1619 ;    ;    ; 230 ; 1528 ; 23 56 89;   ;      ;    ;03.02.20 ; Коложский парк, 1        ; дворец творчества, 2 трипода      ; 53.681800; 23.823570;G*
$;M;R;GR.; Гродно         ;                   ;    ; 1619 ;    ;    ; 230 ;  339 ;  34     ;   ;      ;    ;03.02.20 ; Коложский парк, 1        ; дворец творчества, 2 трипода      ; 53.681800; 23.823570;G*
$;M;R;GR.; Гродно         ;                   ;    ; 1619 ;    ;    ; 230 ; 1603 ;1  4     ;   ;      ;    ;25.08.20 ; Коложский парк, 1        ; дворец творчества, 2 трипода, доп.; 53.681800; 23.823570;G*
$;M;R;GR.; Гродно         ;                   ;    ; 1660 ;    ;    ; 234 ; 1651 ;1  4  7  ;   ;      ;    ;02.02.20 ; Брикеля, 7               ; общежитие ГрГАУ, трипод           ; 53.699620; 23.845460;G
$;M;R;GR.; Гродно         ;                   ;    ; 1660 ;    ;    ; 234 ; 1974 ;1        ;   ;      ;    ;02.02.20 ; Брикеля, 7               ; общежитие ГрГАУ, трипод           ; 53.699620; 23.845460;G
$;M;R;GR.; Гродно         ;                   ;    ; 1682 ;    ;    ; 230 ; 1695 ;123456789;   ;      ;    ;25.01.19 ; Поповича, 4а           ; торговый колледж, общежитие, триподы; 53.673790; 23.804785;G 
$;M;R;GR.; Гродно         ;                   ;    ; 1682 ;    ;    ; 230 ; 1900 ;1  4  7  ;   ;      ;    ;03.03.19 ; Поповича, 4а      ;торговый колледж, общежитие, триподы, доп.; 53.673790; 23.804785;G 
$;M;R;GR.; Гродно         ;                   ;    ; 1706 ;    ;    ; 234 ;  745 ;123456789;   ;      ;    ;30.07.19 ; Лиможа, 32Б              ; унивесам "Алми", трубостойки?     ; 53.711200; 23.848700;G*
$;M;R;GR.; Гродно         ;                   ;    ; 1706 ;    ;    ; 234 ; 4038 ;      78 ;   ;      ;    ;02.02.20 ; Лиможа, 32Б              ; унивесам "Алми", трубостойки?     ; 53.711200; 23.848700;G*
$;M;R;GR.; Гродно         ;                   ;    ; 1781 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21 ; Рожанского               ; опорная мачта                     ; 53.750876; 23.856153;G
$;M;R;GR.; Гродно         ;                   ;    ; 1793 ;    ;    ; 233 ;  276 ;1234 6 89;   ;      ;    ;03.03.19 ; Космонавтов, 74          ; мачта                             ;   
$;M;R;GR.; Гродно         ;GRODNO RYNOK KORONA; 34 ; 1821 ;    ;4   ; 234 ; 5401 ;12 45 78 ;   ;      ;    ;17.03.09 ; Горького, 91             ; рынок "Корона", внутри            ; 53.711574; 23.816761;G
$;M;R;GR.; Гродно         ;                   ; 234; 1834 ;    ;45  ; 234 ; 5556 ;12 45 78 ;   ;      ;    ;02.06.17 ; Дубко, 17                ; ТЦ "OldCity", внутри              ; 53.701600; 23.833970;G
$;M;R;GR.; Гродно         ;                   ;    ; 1834 ;    ;    ; 234 ; 2025 ;1        ;   ;      ;    ;29.07.19 ; Дубко, 17                ; ТЦ "OldCity", внутри              ; 53.701600; 23.833970;G
$;M;R;GR.; Гродно         ;                   ;    ; 1834 ;    ;    ; 234 ; 5954 ;123456789;   ;      ;    ;08.05.18 ; Дубко, 17                ; ТЦ "OldCity", трипод              ; 53.701600; 23.833970;G
$;M;R;GR.; Гродно         ;                   ;    ; 1834 ;    ;    ; 234 ; 2025 ;  34     ;   ;      ;    ;29.07.19 ; Дубко, 17                ; ТЦ "OldCity", трипод              ; 53.701600; 23.833970;G
$;M;R;GR.; Гродно         ; BARANOVICHI       ; 237; 1845 ;    ;45  ; 233 ;      ;         ;   ;      ;    ;08.04.07 ; мкр-н Барановичи         ; трансформаторная, мачта           ; 
$;M;R;GR.; Гродно         ;                   ; 234; 2008 ;123 ;456 ; 234 ; 5565 ;123456789;234;  980 ;678 ;30.07.12 ; Белые Росы               ; автостоянка, передвижная БС       ; 53.717010; 23.848860;G
$;M;R;GR.; Гродно         ;                   ;    ; 2008 ;    ;    ; 234 ; 1438 ;      78 ;   ;      ;    ;02.02.20 ; Белые Росы               ; автостоянка, передвижная БС       ; 53.717010; 23.848860;G
$;M;R;GR.; Гродно         ;                   ;    ; 2070 ;    ;    ; 230 ;  444 ;1  4  7  ;   ;      ;    ;26.03.19 ; Тимирязева, 8            ; Евроопт, внутри                   ; 53.688656; 23.845700;G
$;M;R;GR.; Гродно         ;                   ;    ; 2071 ;    ;    ; 233 ; 5676 ;123456789;   ;      ;    ;26.09.18 ; пр-т Космонавтов, 81     ; ТЦ Корона, триподы                ; 53.672142; 23.863120;G
$;M;R;GR.; Гродно         ;                   ;    ; 2071 ;    ;    ; 233 ; 5693 ;1  4  7  ;   ;      ;    ;06.03.19 ; пр-т Космонавтов, 81     ; ТЦ Корона, триподы, доп.          ; 53.672142; 23.863120;G
$;M;R;GR.; Гродно         ;                   ;    ; 2072 ;    ;    ; 233 ;  602 ;1  4  7  ;   ;      ;    ;29.07.19 ; Победы, 47               ; Евроопт, внутри                   ; 53.650450; 23.832450;G 
$;M;R;GR.; Гродно         ;                   ; 234; 2800 ;123 ;456 ; 234 ; 4916 ;  3     9;234; 4738 ; 23 ;01.08.08 ; Дзержинского, 135а       ; теплоузел, мачта                  ; 53.710930; 23.844430;G
$;M;R;GR.; Гродно         ;                   ;    ; 2800 ;    ;    ;     ;      ;         ;234; 4235 ;8   ;02.02.20 ; Дзержинского, 135а       ; теплоузел, мачта                  ; 53.710930; 23.844430;G
$;M;R;GR.; Гродно         ;                   ; 233; 2801 ;123 ;456 ; 233 ; 5136 ;123456789;233; 6437 ;456 ;01.08.08 ; Пролетарская, 16         ; общежитие, мачта                  ; 53.681255; 23.854615;G
$;M;R;GR.; Гродно         ;                   ; 233; 2802 ;123 ;456 ; 233 ; 5178 ; 6 9     ;233; 4738 ; 6  ;05.01.09 ; Пестрака, 36             ; АТС-56, трубостойки               ; 53.654334; 23.835654;G
$;M;R;GR.; Гродно         ;                   ;    ; 2802 ;    ;    ; 233 ; 3014 ;1        ;   ;      ;    ;29.07.19 ; Пестрака, 36             ; АТС-56, трубостойки               ; 53.654334; 23.835654;G
$;M;R;GR.; Гродно         ;                   ; 233; 2803 ;123 ;456 ; 233 ; 5391 ; 2  56 8 ;233; 4738 ;789 ;22.02.11 ; пр-кт Я.Купалы, 18       ; ПТУ-119, мачта                    ; 53.660780; 23.835020;G 
$;M;R;GR.; Гродно         ;                   ;    ; 2803 ;    ;    ; 233 ; 5187 ;12 45 78 ;   ;      ;    ;03.03.19 ; пр-кт Я.Купалы, 18       ; ПТУ-119, мачта, доп.              ; 53.660780; 23.835020;G 
$;M;R;GR.; Гродно         ;                   ;    ; 2803 ;    ;    ; 233 ; 4059 ;    6  89;   ;      ;    ;28.07.19 ; пр-кт Я.Купалы, 18       ; ПТУ-119, мачта                    ; 53.660780; 23.835020;G 
$;M;R;GR.; Гродно         ;                   ; 234; 2804 ;123 ;456 ; 234 ; 5646 ;12 45 78 ;234; 980  ; 9  ;01.08.08 ; Терешковой, 50А          ; теплоузел, мачта                  ; 53.697150; 23.852110;G 
$;M;R;GR.; Гродно         ;                   ;    ; 2804 ;    ;    ;     ;      ;         ;234; 982  ; 01 ;29.07.19 ; Терешковой, 50А          ; теплоузел, мачта                  ; 53.697150; 23.852110;G 
$;M;R;GR.; Гродно         ;                   ; 233; 2806 ;123 ;456 ; 233 ;  410 ;1 34 67 9;233; 4739 ; 02 ;22.12.08 ; пр-кт Я.Купалы, 89       ; клиническая больница N4, мачта    ; 53.648748; 23.857628;G
$;M;R;GR.; Гродно         ;                   ;    ; 2806 ;    ;    ; 233 ;  404 ;1  4  7  ;   ;      ;    ;29.07.19 ; пр-кт Я.Купалы, 89      ;клиническая больница N4, мачта, доп.; 53.648748; 23.857628;G
$;M;R;GR.; Гродно         ;                   ;    ; 2806 ;    ;    ; 233 ; 3014 ;  3 56   ;   ;      ;    ;29.05.21 ; пр-кт Я.Купалы, 89      ;клиническая больница N4, мачта      ; 53.648748; 23.857628;G
$;M;R;GR.; Гродно         ;                   ; 234; 2808 ;123 ;456 ; 234 ; 3754 ;12     8 ;234; 6437 ;78  ;01.08.08 ; Врублевского, 33         ; ИПО ГрГУ (бывш. ДК Юность), мачта ; 53.704164; 23.807654;G
$;M;R;GR.; Гродно         ;                   ;    ; 2808 ;    ;    ; 234 ; 3749 ;1     7  ;   ;      ;    ;25.01.19 ; Врублевского, 33         ; ИПО ГрГУ (бывш. ДК Юность), мачта ; 53.704164; 23.807654;G
$;M;R;GR.; Гродно         ;                   ; 230; 2809 ;123 ;456 ; 230 ;  452 ;123456789;230; 6438 ;034 ;01.08.08 ; Замковая, 4              ; дом быта, триподы                 ; 53.677515; 23.827240;G
$;M;R;GR.; Гродно         ;                   ;    ; 2809 ;    ;    ; 230 ;  451 ;1  4  7  ;   ;      ;    ;07.05.18 ; Замковая, 4              ; дом быта, триподы, доп.           ; 53.677515; 23.827240;G
$;M;R;GR.; Гродно         ;                   ;    ; 2809 ;    ;    ; 230 ; 4002 ;     6789;   ;      ;    ;29.07.19 ; Замковая, 4              ; дом быта, триподы                 ; 53.677515; 23.827240;G
$;M;R;GR.; Гродно         ;                   ; 230; 2810 ;123 ;456 ; 230 ;      ;         ;   ;      ;    ;01.08.08 ; Фолюш, 15/12             ; общежитие МО РБ, мачта            ; 53.664500; 23.775400;
$;M;R;GR.; Гродно         ;                   ; 234; 2811 ;123 ;456 ; 234 ;  456 ; 2 5  7  ;234; 6438 ;89  ;01.08.08 ; пер.Доватора, 3/1; ГрГУ, учебный корпус N2, трипод и кор.мачта; 53.695065; 23.826540;G 
$;M;R;GR.; Гродно         ;                   ;    ; 2811 ;    ;    ; 234 ;  455 ;1  4  7  ;234; 6439 ; 0  ;01.02.20 ; пер.Доватора, 3/1; ГрГУ, учебный корпус N2, трипод и кор.мачта, доп.; 53.695065; 23.826540;G 
$;M;R;GR.; Гродно         ;                   ;    ; 2811 ;    ;    ; 234 ; 4073 ;   5     ;   ;      ;    ;01.08.08 ; пер.Доватора, 3/1; ГрГУ, учебный корпус N2, трипод и кор.мачта; 53.695065; 23.826540;G 
$;M;R;GR.; Гродно         ;                   ; 233; 2812 ;123 ;456 ; 233 ;  457 ;123456789;233; 6439 ;1   ;01.08.08 ; Белуша, 55               ; магазин "Неман-Лада", мачта       ; 53.666220; 23.859960;G  
$;M;R;GR.; Гродно         ;                   ; 234; 2813 ;123 ;456 ; 234 ; 3756 ;1234 67 9;234; 4739 ;345 ;01.08.08 ; Дзержинского, 35/1       ; общежитие, триподы                ; 53.697580; 23.841080;G
$;M;R;GR.; Гродно         ;                   ;    ; 2813 ;    ;    ; 234 ; 3759 ;1  4  7  ;   ;      ;    ;17.07.17 ; Дзержинского, 35/1       ; общежитие, триподы, доп.          ; 53.697580; 23.841080;G
$;M;R;GR.; Гродно         ;                   ;    ; 2813 ;    ;    ; 234 ; 4006 ;  34 6   ;   ;      ;    ;29.07.19 ; Дзержинского, 35/1       ; общежитие, триподы                ; 53.697580; 23.841080;G
$;M;R;GR.; Гродно         ;                   ; 230; 2814 ;123 ;456 ; 230 ;  458 ;123456789;230; 6439 ;567 ;01.08.08 ; Гагарина, 18/1           ; спорткоплекс "Виктория", мачта    ; 53.672150; 23.815280;G 
$;M;R;GR.; Гродно         ;                   ; 230; 2815 ;123 ;456 ; 230 ;  459 ;12 45 789;230; 6439 ;89  ;01.08.08 ; Гарбарская, 4            ; ПО "Труд", мачта                  ; 53.686335; 23.824635;G
$;M;R;GR.; Гродно         ;                   ;    ; 2815 ;    ;    ; 230 ; 3032 ;    56   ;   ;      ;    ;29.07.19 ; Гарбарская, 4            ; ПО "Труд", мачта                  ; 53.686335; 23.824635;G
