KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ;  CID ;GSM ;DCS ; 3G L; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                ; REM                                           ; OZIN     ; OZIE     ;LOCK
$;M;Z  ;BR.; Брест               ;              ;    ; 2724 ;    ;    ; 220 ; 3724 ;1  4  7  ;   ;      ;    ;20.10.16 ; Шевченко 6          ; гостиница "Беларусь", трубостойки             ; 52.086070; 23.704483;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2725 ;    ;    ; 220 ; 2725 ;123456789;   ;      ;    ;20.10.16 ; Карла Маркса 88     ; клуб фабрики "Динамо", трипод                 ; 52.084315; 23.689510;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2726 ;    ;    ; 223 ; 2726 ;123456  9;   ;      ;    ;20.10.16 ; Рябиновая 4         ; ЦТП, мачта                                    ; 52.067080; 23.729216;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2726 ;    ;    ; 223 ; 3726 ;1  4     ;   ;      ;    ;20.10.16 ; Рябиновая 4         ; ЦТП, мачта                                    ; 52.067080; 23.729216;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2730 ;    ;    ; 224 ; 2730 ;1234 6789;   ;      ;    ;20.10.16 ; Медицинская 7       ; областная больница, мачта                     ; 52.106206; 23.814904;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2730 ;    ;    ; 224 ; 3730 ;1  4  7  ;   ;      ;    ;20.10.16 ; Медицинская 7       ; областная больница, мачта                     ; 52.106206; 23.814904;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2764 ;    ;    ; 220 ; 2764 ;123456   ;   ;      ;    ;20.10.16 ; Лейтенанта Рябцева  ; СВХ 9-й путь, мачта                           ; 52.114815; 23.673175;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2771 ;    ;    ; 223 ; 2771 ;1234 6   ;   ;      ;    ;20.10.16 ; пер.Учительский 24  ; мкр-н Гершоны, СООО "КСМ-Сервис", мачта       ; 52.044833; 23.704408;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2771 ;    ;    ; 223 ; 3771 ;1  4  7  ;   ;      ;    ;20.10.16 ; пер.Учительский 24  ; мкр-н Гершоны, СООО "КСМ-Сервис", мачта       ; 52.044833; 23.704408;G
$;M;Z  ;BR.; Брест               ;              ;    ; 2781 ;    ;    ; 224 ; 2781 ;1234567  ;   ;      ;    ;20.10.16 ; Орловская 45        ; ЦТП-2-20, мачта                               ; 52.106862; 23.781176;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4009 ;    ;    ; 220 ; 4009 ;1 34     ;   ;      ;    ;20.10.16 ; Дубровская 17/1     ; общежитие, мачта                              ; 52.128074; 23.656524;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4017 ;    ;    ; 220 ; 4017 ;123456 89;   ;      ;    ;20.10.16 ; ГОБК 27/2           ; автобаза, мачта                               ; 52.092496; 23.659497;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4017 ;    ;    ; 220 ; 3017 ;1  4  7  ;   ;      ;    ;20.10.16 ; ГОБК 27/2           ; автобаза, мачта                               ; 52.092496; 23.659497;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4018 ;    ;    ; 220 ; 4018 ;123456789;   ;      ;    ;20.10.16 ; Дзержинского 52     ; жилой дом, трипод                             ; 52.089284; 23.697746;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4018 ;    ;    ; 220 ; 3018 ;1  4  7  ;   ;      ;    ;20.10.16 ; Дзержинского 52     ; жилой дом, трипод                             ; 52.089284; 23.697746;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4019 ;    ;    ; 220 ; 4019 ;12  5 789;   ;      ;    ;20.10.16 ;пер.Красногвардейский 10; трипод                                     ; 52.110250; 23.683394;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4019 ;    ;    ; 220 ; 3019 ;   4  7  ;   ;      ;    ;20.10.16 ;пер.Красногвардейский 10; трипод                                     ; 52.110250; 23.683394;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4020 ;    ;    ; 223 ; 4020 ;1234  789;   ;      ;    ;20.10.16 ; Влодавская 63      ; мкр-н Гершоны, ДЭУ-21 РУП "Бреставтодор", мачта; 52.049299; 23.709247;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4020 ;    ;    ; 223 ; 3020 ;1  4  7  ;   ;      ;    ;20.10.16 ; Влодавская 63      ; мкр-н Гершоны, ДЭУ-21 РУП "Бреставтодор", мачта; 52.049299; 23.709247;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4021 ;    ;    ; 223 ; 4021 ;123456789;   ;      ;    ;20.10.16 ; Защитников Отечества 10А; АТС, мачта                                ; 52.055913; 23.731826;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4021 ;    ;    ; 223 ; 3021 ;1  4  7  ;   ;      ;    ;20.10.16 ; Защитников Отечества 10А; АТС, мачта                                ; 52.055913; 23.731826;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4027 ;    ;    ; 224 ; 4027 ;1234 6   ;   ;      ;    ;20.10.16 ; Березовская 56      ; столб velcom                                  ; 52.117466; 23.724149;G
$;M;Z  ;BR.; Брест               ;              ;    ; 4050 ;    ;    ; 220 ; 4050 ;12 45    ;   ;      ;    ;20.10.16 ; Огородная 5         ; столб life:)                                  ; 52.117640; 23.667695;G
